Acc_x,Acc_y,Acc_z
-0.0304613,-0.004909075,-0.00798119
-0.04027366,0.02759314,-0.01025389
0.01090564,-0.03787199,-0.01065478
0.03432695,0.01414901,-0.003352364
0.01038436,0.04101206,-0.0008012159
0.02272481,0.05927461,-0.01155772
0.01969553,-0.006333835,0.0023794289999999997
-0.00755599,0.07349703,-0.03231803
-0.04631426,-0.009137364,0.03583441
-0.06480549,0.01530133,0.05287428
-0.06658321,0.12110370000000001,0.04927218
-0.03261684,0.1025579,0.02946432
-0.053087699999999995,0.006481179,0.04282871
-0.02444049,-0.01624634,0.04429381
-0.05905967,-0.01965828,0.028831299999999997
-0.051820000000000005,0.02964851,0.04008391
-0.01106129,0.04146564,0.03063271
-0.01142625,-0.0047594759999999995,0.0005632471
0.02123103,-0.02784945,-0.01031423
0.00212943,0.001638742,0.01359659
0.01540193,-0.005978334,0.03103069
0.0323486,0.02322805,-0.005242027
0.08197507,-0.08118389999999999,-0.02740494
0.06798532,0.03961929,-0.005728156
0.06723168,0.04905505,-0.004712597
0.02297468,0.1186848,0.03340599
0.07945077,0.1822332,0.01802596
0.02063493,0.18477220000000003,0.02608342
0.03695492,0.0882905,0.01185109
0.02142674,-0.02666221,-0.04505175
0.07598503,-0.17852,-0.1090343
0.05907349,0.09868444,-0.12530940000000002
-0.06419346,0.0001383257,0.0011115930000000001
-0.02595641,-0.030335300000000003,-0.004527125
-0.0249989,-0.2752182,-0.04295993
0.01242911,-0.1516142,-0.05743829
0.02162325,-0.04453964,-0.06722291
0.02769924,-0.10147300000000001,-0.05990924
0.01435234,-0.0939206,-0.01484684
0.02092769,-0.04645263,-0.06276002
-0.06610561,-0.02727222,0.0005470868
-0.008888224,0.006881821999999999,-0.02831661
-0.110802,0.02874209,0.05677911
-0.03899724,0.04694828,-0.05264902
-0.01007194,0.07549360000000001,0.03273294
-0.03951418,-0.025231599999999996,0.01044757
0.03449407,-0.1055261,0.003083264
-0.00126198,-0.0797105,-0.003692665
0.0362202,-0.05131532,-0.0310144
0.03452336,-0.06300785,0.04201028
0.03938178,-0.1232501,-0.004127575
0.05544738,0.008375109,-0.01335764
0.004488107,0.04918772,0.02051445
0.03943285,0.07060326,0.06176589
0.03666984,0.23683579999999999,0.06780434
0.05783791,0.1050695,0.06138302
0.02945483,-0.06861845,0.04557966
-0.003061108,-0.08696957,-0.0387446
0.0270404,-0.02940274,-0.03327466
-0.01750899,0.03811765,-0.014260499999999999
0.03110806,-0.03656697,-0.03465658
0.03534538,-0.01519601,-0.06713437
-0.04699666,0.06661441,-0.05304181
-0.060353,-0.01141305,-0.05093419
-0.06042052,0.004558779000000001,0.007983576
-0.04729899,0.07070383,0.03845359
-0.01607812,0.02981288,-0.002880984
0.01741661,0.0007424167999999999,0.02024507
-0.02525449,-0.01850967,0.003136774
0.005043993,-0.008784222,-0.019687599999999996
0.01317708,-0.008770779,-0.007874358
-0.04570739,0.0408981,0.0521095
-0.03534537,0.02530497,0.03736744
