Pos_x,Pos_y,Pos_z
-0.02572668,2.120723,0.033239599999999994
-0.02576232,2.120663,0.03306901
-0.02565664,2.120762,0.03294772
-0.02582192,2.121291,0.03293288
-0.02580732,2.121163,0.03280309
-0.02579778,2.120993,0.03269756
-0.025800999999999998,2.120778,0.03265065
-0.02583337,2.120646,0.03259754
-0.02587926,2.1203830000000004,0.03254306
-0.02588439,2.120098,0.032489
-0.02572942,2.11971,0.03259945
-0.02560586,2.119606,0.03256521
-0.02550268,2.119598,0.03249732
-0.02543807,2.119607,0.0324654
-0.02552891,2.1196599999999997,0.03255618
-0.02549922,2.1196599999999997,0.03255576
-0.02552229,2.119697,0.03260297
-0.025518,2.11968,0.03270361
-0.02547854,2.119656,0.03271544
-0.02542353,2.119576,0.03276801
-0.02538759,2.119559,0.03281221
-0.02534032,2.1196,0.03283232
-0.02530921,2.1195,0.03281003
-0.02527165,2.1194,0.03279889
-0.02523226,2.11928,0.03282344
-0.02520972,2.1192029999999997,0.0328964
-0.02517474,2.119226,0.032979699999999994
-0.0251261,2.119204,0.03304005
-0.02508503,2.1191560000000003,0.03306836
-0.02503282,2.119057,0.03310001
-0.02494979,2.118913,0.03313243
-0.02488863,2.118804,0.03317058
-0.02484769,2.1187080000000003,0.03320515
-0.02475709,2.118598,0.03318095
-0.02470034,2.118489,0.03316319
-0.02464235,2.11841,0.03312218
-0.02460319,2.118327,0.0330869
-0.02453989,2.118262,0.033035400000000006
-0.02451211,2.11829,0.03303003
-0.02446413,2.1183009999999998,0.03301191
-0.02439249,2.118322,0.03298154
-0.02437794,2.118325,0.03292459
-0.02432895,2.1182790000000002,0.03287268
-0.02428496,2.118264,0.03284219
-0.02427208,2.118322,0.03281146
-0.02425879,2.11839,0.03279275
-0.02430308,2.118481,0.03274477
-0.02426314,2.118503,0.0326966
-0.02421635,2.118523,0.032646
-0.02415049,2.118504,0.03262359
-0.02405137,2.1184580000000004,0.03252593
-0.02403635,2.118417,0.03245735
-0.02410316,2.11839,0.03235999
-0.02415693,2.1184,0.03229553
-0.02415228,2.118421,0.03229776
-0.02412534,2.118449,0.03227851
-0.02410114,2.1185099999999997,0.03221405
-0.02404547,2.1185240000000003,0.03215858
-0.02398133,2.118533,0.03211832
-0.02396733,2.118541,0.03207546
-0.02397287,2.118493,0.0320248
-0.02395773,2.1184369999999997,0.0319649
-0.02396518,2.118359,0.03191376
-0.02399278,2.1183009999999998,0.03187704
-0.02400947,2.1182790000000002,0.03183571
-0.02403438,2.118249,0.03179809
-0.02406448,2.118233,0.03179872
-0.0240916,2.118243,0.03177613
-0.02407318,2.1182540000000003,0.03176126
-0.02410465,2.118266,0.03172904
-0.0241493,2.118241,0.03170824
-0.02416068,2.1182279999999998,0.03168225
-0.02414113,2.118264,0.03168759
-0.02410167,2.118316,0.03171325
-0.02407706,2.118374,0.03174824
-0.02407169,2.118382,0.03176302
-0.02407533,2.118374,0.03179187
-0.02404076,2.118395,0.03185195
-0.0240227,2.118419,0.03195286
-0.02400804,2.118401,0.03201061
-0.02400619,2.118376,0.03208733
-0.02400184,2.1183520000000002,0.03218001
-0.02398747,2.11835,0.03229958
-0.02396649,2.11832,0.03237945
-0.02397287,2.118221,0.0324536
-0.02397674,2.1181669999999997,0.03250939
-0.02394879,2.1181229999999998,0.03258327
-0.02390671,2.118091,0.03264731
-0.02387577,2.118074,0.03269181
-0.02386004,2.118039,0.0326885
-0.02380997,2.118008,0.03266534
-0.02376586,2.118015,0.03267151
-0.02370465,2.118062,0.03265411
-0.0236696,2.1181,0.03264487
-0.02364779,2.1181080000000003,0.03261626
-0.02361518,2.1181080000000003,0.03259918
-0.02358627,2.1181200000000002,0.03258443
-0.02355206,2.118132,0.03256029
-0.02355188,2.118144,0.03250301
-0.02353358,2.1181229999999998,0.03246272
-0.02352679,2.118091,0.03241563
-0.02355045,2.118072,0.03237095
-0.02357519,2.118068,0.03233132
-0.02360487,2.118029,0.03231072
-0.02364415,2.1179650000000003,0.03227916
-0.02367532,2.117929,0.03224862
-0.02371675,2.117959,0.03220552
-0.02377057,2.117997,0.03217533
-0.02379656,2.118032,0.03212416
-0.02382439,2.118074,0.0320802
-0.02387053,2.118155,0.03203744
-0.02391231,2.118173,0.0319874
-0.02395988,2.118177,0.03193092
-0.02399254,2.1181650000000003,0.03185403
-0.02404451,2.118145,0.03181684
-0.02407622,2.118177,0.03176668
-0.02413011,2.118202,0.03173172
-0.02419037,2.118276,0.03168723
-0.02427161,2.118325,0.0316624
-0.02433145,2.1183669999999997,0.03162736
-0.02437359,2.118423,0.03160286
-0.02441156,2.118455,0.03156447
-0.02446109,2.118487,0.03156611
-0.02454722,2.118546,0.03156832
-0.02460372,2.118614,0.03155959
-0.02463126,2.11869,0.03153223
-0.02463681,2.118811,0.03150696
