ID,z
AS_F_1,0.001934059
AS_F_1,0.007576258
AS_F_1,0.03651286
AS_F_1,0.04797157
AS_F_1,0.03021974
AS_F_1,0.03309918
AS_F_1,0.05518094
AS_F_1,0.01700282
AS_F_1,-0.0656976
AS_F_1,-0.04670622
AS_F_1,-0.02380288
AS_F_1,-0.04438503
AS_F_1,-0.01321543
AS_F_1,0.009047723
AS_F_1,-0.01349302
AS_F_1,-0.04754239
AS_F_1,-0.02772587
AS_F_1,0.02742828
AS_F_1,-0.008353741
AS_F_1,0.04069191
AS_F_1,-0.003678866
AS_F_1,0.02082224
AS_F_1,0.01137565
AS_F_1,0.003267805
AS_F_1,0.01508738
AS_F_1,0.05450836
AS_F_1,0.009754505
AS_F_1,0.05788789
AS_F_1,0.02570036
AS_F_1,-0.007200885
AS_F_1,0.004887483
AS_F_1,-0.02719845
AS_F_1,0.004838579
AS_F_1,-0.03749172
AS_F_1,-0.02465591
AS_F_1,-0.03801773
AS_F_1,-0.01529116
AS_F_1,-0.09567724
AS_F_1,-0.005930316
AS_F_1,-0.06215673
AS_F_1,0.005852319
AS_F_1,-0.008998697
AS_F_1,-0.001264201
AS_F_1,0.009200005
AS_F_1,0.006843563
AS_F_1,0.00180081
AS_F_1,0.02838613
AS_F_1,-0.01223784
AS_F_1,-0.03450333
AS_F_1,-0.01109658
AS_F_1,-0.01572284
AS_F_1,-0.01680492
AS_F_1,0.01004685
AS_F_1,0.02388002
AS_F_1,0.008820164
AS_F_1,-0.01642505
AS_F_1,0.03078536
AS_F_1,0.01365422
AS_F_1,0.01664434
AS_F_1,0.03999189
AS_F_1,-0.02811037
AS_F_1,-0.01632989
AS_F_1,0.004518871
AS_F_1,0.01476675
AS_F_1,-0.0003522749
AS_F_1,0.003678789
AS_F_1,-0.02644916
AS_F_1,0.02325738
AS_F_1,0.0003027075
AS_F_1,0.02876498
AS_F_1,-0.01603356
AS_F_1,-0.008430876
AS_F_1,0.006536149
AS_F_1,0.0002994205
AS_F_1,-0.02118309
AS_F_1,-0.01396742
AS_F_1,0.01482154
AS_F_1,-0.02467822
AS_F_1,-0.05661381
AS_F_1,-0.07060292
AS_F_1,-0.08007621
AS_F_1,-0.05705312
AS_F_1,-0.1337405
AS_F_1,-0.111591
AS_F_1,-0.07453451
AS_F_1,-0.07758179
AS_F_1,-0.148276
AS_F_1,-0.0880226
